#接龙
4.4已做核酸，请接龙

1. 室号-人数
2. 2105 -1
3. 1704 2
4. 2203 -1
5. 2607 –2
6. 2504 -1
7. 2005  1
8. 107 -1
9. 2502 - 1
10. 1808 -1
11. 803-2
12. 2006 -1
13. 507 -1

15. 1804 -1
16. 1505 1
17. 1908-1
18. 2104 -2

20. 2106 -1
21. 205 -1
22. 606 2
23. 1602 不在家
24. 407 2
25. 1202 -1
26. 2708 1
27. 203 园区做了
28. 607 1
29. 2307 -2
30. 2302 -2
31. 706 -1
32. 1404 不在家，在单位做
33. 1702 -1
34. 1005 -1
35. 2101 1
36. 306  1
37. 605 -1
38. 501 -1

44. 1904 -2
45. 2305 -1
46. 2503 1
47. 604 1
48. 904 0
49. 702 1
50. 405 -1
51. 1106 2
52. 201 -2
53. 2402 2
54. 2408 -2
55. 1607 -1
56. 2303 -1
57. 1606
58. 804 -1
59. 503 - 1
60. 206-2
61. 2501
62. 2201 4
63. 202 1
64. 808 2
65. 707 -1
66. 1108 -1
67. 1502 -1

72. 1303 1
73. 1206 1
74. 2802  2
75. 1302 -1
76. 102 -1
77. 403 -2
78. 303 -1
79. 2304 *2
80. 1208 -4
81. 802  -1
82. 2207 -2
83. 2004 -2
84. 1708 -2
85. 1701 1
86. 406 -1
87. 108 - 1
88. 207 -1
89. 502 -1
90. 1703 -1
91. 2701 1
92. 602 2
93. 1205 -1
94. 2401 2
95. 1605 3
96. 105 -1
97. 508 3
98. 2603 2
99. 2606-1
100. 1507 -2，1人已做核酸，1人在公司
101. 1707 1
102. 2204 1
103. 305 -1
104. 2705 -2
105. 2505 -2
106. 1403 1
107. 905 - 2
108. 2605 3
109. 1008  2
110. 404 -1
111. 1003 -1
112. 2108 -2
113. 2103 2
114. 2507 2
115. 901 -1
116. 2007 -1
117. 704  - 2
118. 1901 -2
119. 608 2
120. 2801 1
121. 1201 1
122. 701 2
123. 2001 -2
124. 907 2
125. 106 2
126. 1506 -2
127. 705 -2
128. 1905 1
129. 1902 -2
130. 2102 1
131. 2601 2
132. 506 不在家
133. 801  3
134. 1903 —2
135. 1601 -2
136. 2406 -1
137. 2702 -2
138. 1105 1
139. 1406 1
140. 1608 -2
141. 1501 2
142. 104 -1
143. 2202 -1
144. 806 -1
145. 1004 2
146. 601  4
147. 1706 2
148. 1307 -1
149. 2608 4
150. 2306 2
151. 805 -1
152. 1405 -1
153. 1102 2
154. 2508 -3
155. 2205 2
156. 1801-3
157. 1104 1
158. 2206 1
159. 103  2
160. 1807 2
161. 1001 -1
162. 1002 1
163. 1203 -2
164. 807 -1
165. 2506 -1
166. 1006 -1
167. 304 -1
168. 1207 2
169. 1906 1
170. 1103 2
171. 1408 -4
172. 308 -2
173. 505 -1
174. 1402 -2
175. 101 -3
176. 1308-2
177. 1101 2
178. 2704 -2
179. 1305 -1
180. 1504 -1
181. 2706 1
182. 2308 -2
183. 408 -4
184. 908 2
185. 2301 -1
186. 401 - 2
187. 2405 -1
188. 1306 1
189. 2107 1
190. 302 不在家
191. 1407 -2
192. 1705 -1
193. 402 -2
194. 2703 -1
195. 708 -1
196. 903 -2
197. 1803 2
198. 1503 2
199. 1805 不在家
200. 2208 -2
201. 204  1
202. 2707 1
203. 208 -1
204. 1301 -2
205. 2008 -2
206. 301 -1
207. 2404 -1
208. 1204 -1
209. 1304 -1在单位做
210. 504 不在家
